actor,movie_or_TV_name
Sarah Shepherd,Avengers: Age of Ultron
Sarah Shepherd,The Imitation Game
Sarah Shepherd,Jurassic World: Fallen Kingdom
Sarah Shepherd,The Meg
Sarah Shepherd,Mulan
Sarah Shepherd,A Monster Calls
Sarah Shepherd,Son of a Gun
Roo Maurice,The Imitation Game
Roo Maurice,Kick-Ass 2
Roo Maurice,The Postcard Killings
Roo Maurice,Death to 2021
Roo Maurice,Talaash
Roo Maurice,Shepherd
Roo Maurice,Chevalier
Denise Kum,Captain America: The First Avenger
Denise Kum,The Imitation Game
Denise Kum,Sherlock Holmes: A Game of Shadows
Denise Kum,Mulan
Denise Kum,Exodus: Gods and Kings
Denise Kum,Æon Flux
Denise Kum,Marrowbone
Denise Kum,Radioactive
Amy Riley,The Imitation Game
Amy Riley,Doctor Who: Last Christmas
Amy Riley,Mr. Nice
Amy Riley,Resistance
Sammy Sheldon,Ant-Man
Sammy Sheldon,The Imitation Game
Sammy Sheldon,V for Vendetta
Sammy Sheldon,Ex Machina
Sammy Sheldon,X-Men: First Class
Sammy Sheldon,Kick-Ass
Sammy Sheldon,Jurassic World: Fallen Kingdom
Sammy Sheldon,Annihilation
Jack English,The Imitation Game
Jack English,The Fifth Element
Jack English,The Hitman's Bodyguard
Jack English,The Transporter
Jack English,Darkest Hour
Jack English,London Has Fallen
Jack English,Angel Has Fallen
Jack English,Parker
Peter Wignall,The Imitation Game
Peter Wignall,Sherlock Holmes: A Game of Shadows
Peter Wignall,Troy
Peter Wignall,Snatch
Peter Wignall,Solo: A Star Wars Story
Peter Wignall,The Bourne Ultimatum
Peter Wignall,Kick-Ass 2
Peter Wignall,Stardust
Steven Hall,The Imitation Game
Steven Hall,Yesterday
Steven Hall,Sky Captain and the World of Tomorrow
Simon Surtees,The Imitation Game
Simon Surtees,Burnt
Simon Surtees,Hustle
Gary Hutchings,The Dark Knight Rises
Gary Hutchings,Bohemian Rhapsody
Gary Hutchings,The Imitation Game
Gary Hutchings,Edge of Tomorrow
Gary Hutchings,Quantum of Solace
Gary Hutchings,Life
Gary Hutchings,Clash of the Titans
Gary Hutchings,Alien³
Rory Moles,The Imitation Game
Rory Moles,Before I Go to Sleep
Rory Moles,You Should Have Left
Rory Moles,In Fabric
Rory Moles,Hustle
Tim Battersby,The Imitation Game
Tim Battersby,World War Z
Tim Battersby,Burnt
Tim Battersby,Fighting with My Family
Tim Battersby,Sahara
Tim Battersby,Cashback
Tim Battersby,Black Sea
Tim Battersby,Control
Albert Carreras,The Imitation Game
Albert Carreras,A Monster Calls
Albert Carreras,Agora
Albert Carreras,Fragile
Albert Carreras,Darkness
Albert Carreras,The Abandoned
Nick Dent,The Imitation Game
Nick Dent,Me Before You
Nick Dent,London Has Fallen
Nick Dent,Christopher Robin
Nick Dent,The Foreigner
Nick Dent,Macbeth
Nick Dent,Tulip Fever
Nick Dent,Burke & Hare
Nick Thomas,The Imitation Game
Nick Thomas,Ex Machina
Nick Thomas,Me Before You
Nick Thomas,28 Weeks Later
Nick Thomas,Sunshine
Nick Thomas,The Constant Gardener
Nick Thomas,How I Live Now
Nick Thomas,Brothers of the Head
Maria Djurkovic,The Imitation Game
Maria Djurkovic,Mamma Mia!
